127.0.0.1 - - [09/Nov/2021:01:56:19 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:56:22 +0530] "GET /Servlet_Filter_N22/ HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:56:42 +0530] "GET /Servlet_Filter_N22/ HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:56:44 +0530] "GET /Servlet_Filter_N22/MemberAreaController?action=memberArea HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:56:44 +0530] "GET /Servlet_Filter_N22/SiteController?page=login HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:56:46 +0530] "GET /Servlet_Filter_N22 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:56:46 +0530] "GET /Servlet_Filter_N22/ HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:56:48 +0530] "GET /Servlet_Filter_N22/MemberAreaController?action=memberArea HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:56:48 +0530] "GET /Servlet_Filter_N22/SiteController?page=login HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:56:49 +0530] "GET /Servlet_Filter_N22 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:56:49 +0530] "GET /Servlet_Filter_N22/ HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:56:51 +0530] "GET /Servlet_Filter_N22/SiteController?page=about HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:56:55 +0530] "GET /Servlet_Filter_N22 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:56:55 +0530] "GET /Servlet_Filter_N22/ HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:56:56 +0530] "GET /Servlet_Filter_N22/MemberAreaController?action=memberOnly HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:56:59 +0530] "GET /Servlet_Filter_N22 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:56:59 +0530] "GET /Servlet_Filter_N22/ HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:00 +0530] "GET /Servlet_Filter_N22/MemberAreaController?action=memberArea HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:00 +0530] "GET /Servlet_Filter_N22/SiteController?page=login HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:02 +0530] "GET /Servlet_Filter_N22 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:02 +0530] "GET /Servlet_Filter_N22/ HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:03 +0530] "GET /Servlet_Filter_N22/SiteController?page=about HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:04 +0530] "GET /Servlet_Filter_N22 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:04 +0530] "GET /Servlet_Filter_N22/ HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:04 +0530] "GET /Servlet_Filter_N22/SiteController?page=login HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:05 +0530] "GET /Servlet_Filter_N22 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:05 +0530] "GET /Servlet_Filter_N22/ HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:14 +0530] "GET /Servlet_Filter_N22/MemberAreaController?action=memberOnly HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:21 +0530] "GET /Servlet_Filter_N22 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:21 +0530] "GET /Servlet_Filter_N22/ HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:26 +0530] "GET /Servlet_Filter_N22/SiteController?page=about HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:28 +0530] "GET /Servlet_Filter_N22 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:28 +0530] "GET /Servlet_Filter_N22/ HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:31 +0530] "GET /Servlet_Filter_N22/MemberAreaController?action=memberOnly HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:33 +0530] "GET /Servlet_Filter_N22 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:01:57:33 +0530] "GET /Servlet_Filter_N22/ HTTP/1.1" 200 564
